day,contact_language,incoming,backlog_start_of_the_day,backlog24hrs_start_of_the_day,head_sla
2023-02-22,es,308,92,15,0.961038961038961
2023-02-22,fr,637,245,81,0.9434850863422292
2023-02-22,it,295,52,16,0.9457627118644067
2023-02-23,de,1573,1236,952,0.9332485696122059
2023-02-23,en,1079,328,87,0.9397590361445783
2023-02-23,es,290,107,19,0.9758620689655172
2023-02-23,fr,584,265,96,0.9434931506849316
2023-02-23,it,273,84,15,0.9743589743589743
2023-02-24,de,1356,1157,881,0.8561946902654868
2023-02-24,en,1013,393,91,0.8854886475814413
2023-02-24,es,272,73,15,0.9485294117647058
2023-02-24,fr,505,253,92,0.8415841584158416
2023-02-24,it,212,65,23,0.8962264150943396
2023-02-25,de,584,1174,887,0.7277397260273972
2023-02-25,en,459,354,97,0.9128540305010894
2023-02-25,es,130,76,18,0.9615384615384616
2023-02-25,fr,290,248,93,0.8241379310344827
2023-02-25,it,158,67,18,0.879746835443038
2023-02-26,de,518,1279,1030,0.9498069498069498
2023-02-26,en,470,287,185,0.9680851063829787
2023-02-26,es,109,40,21,0.981651376146789
2023-02-26,fr,318,342,156,0.9308176100628931
2023-02-26,it,90,82,39,0.9333333333333333
2023-02-27,de,1787,1356,1147,0.8964745383324007
2023-02-27,en,1129,216,157,0.8866253321523472
2023-02-27,es,368,41,22,0.907608695652174
2023-02-27,fr,735,271,128,0.9564625850340136
2023-02-27,it,300,51,26,0.9666666666666667
2023-02-28,de,1915,1327,848,0.804177545691906
2023-02-28,en,1283,500,98,0.8674980514419329
2023-02-28,es,375,120,15,0.712
2023-02-28,fr,785,254,87,0.932484076433121
2023-02-28,it,273,80,24,0.9413919413919414
2023-03-01,de,1699,1713,916,0.7563272513243084
2023-03-01,en,1408,626,140,0.8586647727272727
2023-03-01,es,360,234,29,0.5972222222222222
2023-03-01,fr,668,311,86,0.9086826347305389
2023-03-01,it,342,104,22,0.9824561403508771
2023-03-02,de,1794,1792,990,0.6215161649944259
2023-03-02,en,1346,766,199,0.8358098068350669
2023-03-02,es,347,301,71,0.7175792507204611
2023-03-02,fr,670,291,92,0.9119402985074627
2023-03-02,it,262,111,23,0.9541984732824428
2023-03-03,de,1356,2258,1172,0.6718289085545722
2023-03-03,en,1113,785,195,0.8122192273135669
2023-03-03,es,336,286,89,0.6279761904761905
2023-03-03,fr,598,246,103,0.8277591973244147
2023-03-03,it,227,69,15,0.8898678414096917
2023-03-04,de,680,1879,1344,0.46911764705882353
2023-03-04,en,646,608,200,0.8668730650154799
2023-03-04,es,116,267,92,0.7155172413793104
2023-03-04,fr,409,316,114,0.7457212713936431
2023-03-04,it,167,83,16,0.9401197604790419
2023-03-05,de,484,2104,1645,0.7169421487603306
2023-03-05,en,514,560,277,0.9299610894941635
2023-03-05,es,128,219,156,0.90625
2023-03-05,fr,275,316,141,0.8981818181818182
2023-03-05,it,116,65,36,1.0
2023-03-06,de,1595,1999,1701,0.747962382445141
2023-03-06,en,1325,436,279,0.9207547169811321
2023-03-06,es,359,132,79,0.9220055710306406
2023-03-06,fr,762,290,171,0.8608923884514436
2023-03-06,it,326,55,35,0.9693251533742331
2023-03-07,de,1597,2054,1380,0.7501565435190983
2023-03-07,en,1224,417,143,0.9223856209150327
2023-03-07,es,315,133,32,0.926984126984127
2023-03-07,fr,692,417,113,0.7384393063583815
2023-03-07,it,330,101,15,0.9242424242424242
2023-03-08,de,1413,2012,1396,0.8223637650389243
2023-03-08,en,963,431,144,0.9356178608515057
2023-03-08,es,236,124,37,0.9745762711864406
2023-03-08,fr,473,473,160,0.8731501057082452
2023-03-08,it,255,125,18,0.9607843137254902
2023-03-09,de,1623,1840,1365,0.8434996919285275
2023-03-09,en,1167,430,181,0.8980291345329906
2023-03-09,es,286,102,40,0.9230769230769231
2023-03-09,fr,657,500,286,0.8873668188736682
2023-03-09,it,292,79,22,0.9554794520547946
2023-03-10,de,1296,1825,1262,0.746141975308642
2023-03-10,en,971,558,158,0.8753861997940268
2023-03-10,es,290,136,24,0.7034482758620689
2023-03-10,fr,579,368,122,0.7374784110535406
2023-03-10,it,247,118,20,0.8218623481781376
2023-03-11,de,574,1661,1196,0.7299651567944251
2023-03-11,en,484,436,175,0.8615702479338843
2023-03-11,es,115,174,34,0.6608695652173913
2023-03-11,fr,363,347,124,0.6391184573002755
2023-03-11,it,182,82,22,0.9175824175824175
2023-03-12,de,661,1492,1293,0.794251134644478
2023-03-12,en,616,356,227,0.9431818181818182
2023-03-12,es,117,156,100,0.9230769230769231
2023-03-12,fr,249,423,242,0.7991967871485943
2023-03-12,it,91,112,59,0.967032967032967
2023-03-13,de,1765,1416,1187,0.7915014164305949
2023-03-13,en,1359,421,274,0.8947755702722591
2023-03-13,es,306,127,68,0.8954248366013072
2023-03-13,fr,640,394,218,0.9546875
2023-03-13,it,290,71,55,0.9448275862068966
2023-03-14,de,1800,1497,865,0.7583333333333333
2023-03-14,en,1248,528,128,0.9198717948717948
2023-03-14,es,251,139,30,0.848605577689243
2023-03-14,fr,595,268,105,0.9260504201680673
2023-03-14,it,249,96,16,0.9357429718875502
2023-03-15,de,1692,1785,1054,0.7653664302600472
2023-03-15,en,1206,611,167,0.8540630182421227
2023-03-15,es,283,154,37,0.7279151943462897
2023-03-15,fr,503,247,99,0.878727634194831
2023-03-15,it,280,79,23,0.9428571428571428
2023-03-16,de,1659,1997,1199,0.7474382157926461
2023-03-16,en,1070,632,141,0.9018691588785047
2023-03-16,es,222,192,43,0.7882882882882883
2023-03-16,fr,513,274,102,0.9103313840155945
2023-03-16,it,250,93,21,0.864
2023-03-17,de,1254,2266,1440,0.7416267942583732
2023-03-17,en,1003,661,207,0.8175473579262214
2023-03-17,es,253,184,64,0.7193675889328063
2023-03-17,fr,515,244,114,0.8543689320388349
2023-03-17,it,257,97,25,0.7898832684824902
2023-03-18,de,480,1922,1473,0.6645833333333333
